	job_id	title	location	department	salary_range	company_profile	description	requirements	benefits	telecommuting	has_company_logo	has_questions	employment_type	required_experience	required_education	industry	function	fraudulent
52	6528	Client Audit Coordinator 	US, TX, Austin	COMPLIANCE UNIT 701	26000-30000	The Accion  story began more than 100 years ago in the Austin,Tx with one family owned establishment. Today, Accion  has grown into a nationwide Organazation with over 260 stores. Accion success is attributed to our unique niche in the market offering current   finance option at competitive prices paired with customer service and a personal shopping experience. Join the Accion story today!	Description SUMMARY: The Client Audit Coordinator assists the Compliance Manager in carrying out necessary tasks needed to ensure regulatory and client compliance issues are managed and addressed.   DUTIES AND RESPONSIBILITIES:Maintain Compliance E-mail Box and ensure all matters are handled accurately and timelyOrganize communications from Clients and route to appropriate party for handlingEscalate matters when necessaryAssist in setting up and maintain SharePoint site to handle compliance/audit issuesAssist in gathering requested information for Client auditsDocument and update Client audit procedures for training and referenceTrack progress and completion of Client audit requestsPerform other duties as assigned	High school diploma or equivalent; Bachelor's degree preferredSharePoint experience is a plusStrong organizational skillsAbility to deal effectively with a diversity of individuals at all organizational levelsAbility to work in a fast-paced environment with demonstrated ability to juggle multiple, competing tasks and demandsProficient with Microsoft Office Suite and Outlook	We offer a competitive and comprehensive range of benefits that is attainable for full-time employees.	0	1	1	Full-time	Associate	High School or equivalent	Financial Services	Customer Service	1
75	9842	Client Services Manager - SM1	US, CA, San Mateo	Client Services		#URL_ddb080358fa5eecf5a67c649cfb4ffc343c484389f1bbaf2a1cb071e3f2b6e7e# and Aptitude Staffing Solutions have partnered up in an effort to streamline the hiring process and provide a more efficient and effective recruitng model.  Our focus is to help develop and achieve your career goals while makeing a solid geographical, cultural and professional fiit when leveraging your career into your new and exciting professional venture!Please direct all communications throughout this process to the HR department at Aptitude Staffing Solutions#EMAIL_0c020555b4dbc1c1e03d03c46cc181bcfde81bf5b20fea95d1bc7dc64c79814c#Darren Lawson | VP of Recruiting | #EMAIL_f4da338e899ddba983ac771b001681d1d2d93b3327ddc420a15f4e5a310071a9# | #PHONE_90d33c9d7ec1484aebfe37b153d677decc6f5f53b316489ed24061544c04eb66#	Client Services Manager - SM1San Mateo, CA#URL_b0c46563ede9cd7db1c4789a59b5459bbd3bc82e0f5dbdb0b142ceb7d21416f5# is leading the way with technology that's evolving with the changing media landscape, not against it. Description The Client Services Manager will be assigned to specific accounts and be responsible for the successful and on-time execution campaigns running on the #URL_b0c46563ede9cd7db1c4789a59b5459bbd3bc82e0f5dbdb0b142ceb7d21416f5# platform. From setting up and moderating Kick-Off-Calls through ensuring billing is complete, the campaign manager is the primary owner of the successful execution campaigns from assigned accounts. The Client Services Manager will work with media agencies and publishers as well as Account Directors and Sales Directors in the region to ensure that campaigns meet and exceed client’s expectations. The Client Services Manager may manage a coordinator, back-up Client Services Manager peer, or handle certain clients’ work on a one-off basis. Key responsibilities include:Maintaining strong communication and manage expectations with clients, account directors and sales to keep all stakeholders informed of campaign statusExecuting and/or ensuring that process is executed on every assigned campaign, in some cases by delegating campaign tasks to Campaign Coordinator, Ad-Operations or back-up Client Services ManagerTroubleshooting and solving common technical problems, and address client issuesMonitoring campaign performance to client’s objectives and make optimization as necessaryMaintaining and expanding client relationships; notifying stakeholders about future business opportunitiesDeveloping and maintaining expert level proficiency in the #URL_b0c46563ede9cd7db1c4789a59b5459bbd3bc82e0f5dbdb0b142ceb7d21416f5# tool set	Basic Qualifications:Proven experience in management of digital ad delivery, optimization and/or yield managementAbility to prioritize multiple tasks and meet deadlines with demonstrated initiativeStrong initiative and ability to work well under pressure while maintaining good attitudeAbility to work well independently define/manage objectives in a fast paced environmentAbility to maintain excellent internal and external client relationshipsProficiency in MS Office Suite, with an emphasis in ExcelBA/BS degreeMinimum 3 years of relevant client services management position in the digital ad spacePreferred Qualifications:5 years related experience in online advertisingStrong understanding in leading ad servers and ad networksAn understanding of video media and knowledge of programmatic transactions	Our core values drive our culture. This is what we believe: Why #URL_ddb080358fa5eecf5a67c649cfb4ffc343c484389f1bbaf2a1cb071e3f2b6e7e#? Watch our culture video to learn more.MAKE OUR CUSTOMERS SUCCESSFUL Our customers' success is ours. We live to solve their problems, improve their futures, and exceed their expectations. When our customers win, we win.SET THE BAR HIGH. We're trying to revolutionize an industry, so we can't be just good—we have to be the best. That means striving for the best team, product, and company on the planet.BE ACCOUNTABLE. We own our work. We keep our promises. And we always follow through. We take responsibility for failures, and humble bows for successes. There's no time for excuses and finger pointing.SHOW INTEGRITY. Forget loopholes, back doors, and shades of gray. We just say it. We are honest and straightforward with everyone. The only way we can bring clarity to a chaotic world is to walk-the-walk ourselves.MAKE EACH OTHER BETTER. Everything we achieve, we achieve together. Nobody is too important to grab a broom.ALWAYS MOVE FORWARD. We see the world as it could be, not just as it is. With our passion for finding new solutions to old problems, we're creating that new world. It's a future worth adapting to.The Benefits Generous paid time off to help you maintain a good work-life balanceFully catered lunches available everyday to all employees at the corporate officeOffices fully stocked with snacks and refreshments to keep you energized and productiveExtensive employee benefits and perks to show how much we value your effortsFun team events, company events, employee sponsored events, employee recognition awards, and more!                                                                	0	1	1	Full-time	Mid-Senior level	Bachelor's Degree	Marketing and Advertising	Information Technology	1
77	17806	Receptionist	GB, , 				We the Montcalm Hotel are looking for the position of a Receptionist to work here in London, Interested persons are encouraged to send their resume application for immediate consideration.	Good Requirement	Package: Basic salary ranges from GBP2500 - 6000GBP monthly dependent on experience level , plus attractive Stock Grant ( from day one ) , Target Bonus (circa 20 % at present) and other company benefits . Employment Benefits also includes meals . Full summary of the entire package will be mailed qualified before the resumption of service to the applicant.	0	0	0	Full-time	Entry level		Hospitality		1
84	9258	CAD Operator	US, TX, Houston	Engineering			Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureAker Solutions is a leading global oil services company that provides engineering and construction services, technology, products and field-life solutions for the oil &amp; gas industryOur Business very much depends on our people; all our major achievements are team efforts. We are looking for dedicated team players who like to be part of a winning team, who meet challenges head on to serve our customers’ needs.MMO based in Aberdeen, have excellent opportunities for talented individuals who can strengthen our team and support our ambitious growth plans within the engineering, construction, maintenance, modification and operations market.We are currently looking for a CAD Operator [ Close-out ]Responsibilities and tasksTo operate computer-aided design (CAD) system and produce clear and technically accurate drawings based on the specification presented.Follows all relevant engineering procedures and instructions to insure that work is carried out in a controlled and consistent mannerFollows day-to-day operations relating to own jobs to ensure continuity of workDrawings and diagrams: Preparation, back-drafting, updating and as-building as per discipline requirements and good engineering practices.Liaise with Close Coordinator Team Lead to provide accurate delivery datesWorks to own initiative to decide best layout solutionsAdapts existing drawings to incorporate project changes demonstrating accuracy and thoroughnessMeets productivity standards and completes work in a timely mannerUnderstand Process, Electrical, Instrumentation diagrams. Ability to use Microsoft Office, Word, Excel.Looks for ways to improve and promote qualityApplies feedback to improve drawing office deliverablesMonitors own work to ensure qualityApplies creative solutions and translates concepts and information onto drawings. Uses intuition, discipline knowledge and experience to modify designsConform to client drawing/document production as covered by PEM and BS EN ISO 9001Understands and utilises the Aker management system (AKIMS) to the required level	Qualifications &amp; personal attributes Educated to HNC level Understanding of the Offshore Oil &amp; Gas Industry. A strong understanding of the capabilities of the key engineering systems &amp; tools in operation within the design office. A strong understanding and skill level of CAD Demonstrable experience within a similar environment / industry. Demonstrable experience of computer-aided design systems.	We offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.	0	0	0				Construction	Design	1
96	5784	Position Admin Assistant	AU, NSW, Sydney		22000-28000		We require an experienced Admin Assistant with great attention to detail to work in our Admin Department, reporting to the Managing Director.*General administrative support and correspondence *Answering phones, setting appointments, answering inquiries, coordinating orders *Collecting and posting mail *Filing documents *Responsible for office stationary and office equipment orders	• Excellent time management &amp; superb presentation skills • Good communication skills both written and verbal and ability to work under pressure and meet deadlines • A good working knowledge of MS Office &amp; MYOB applications • Attention to detail and ability to multi task • A proactive approach and willingness to succeed • Ability to work autonomously and also be a team player • Interest in computers &amp; IT related fields would be an advantage	Part Time – 15 to 20 hours per week – you choose the days / time Very FlexibleWe will provide full training on company systems.	0	0	1	Part-time	Internship	Unspecified	Executive Office	Administrative	1
97	2076	Industrial Mechanic	US, TX, Houston			Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.	Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureAker Solutions' Subsea based in Houston,consists of a high tech manufacturing centre and an extremely innovative engineering environment. The plant is tailor made for development and manufacturing of subsea systems. Our products are in demand throughout the world and the prospects for the future are promising. We need Operators who can strengthen our team and support our ambitious growth plans within the Subsea systems for oil and gas production market.We are looking for: Industrial Mechanics/ Test OperatorsResponsibilities and tasks- Perform assembly &amp; test functions to associated Subsea procedures.- The position requires active interfacing and communication with shift leader, test technicians and team leader- Ensure all procedures are executed right and completed and give inputs to test technicians &amp; shift leader- Report non-conformities	Qualifications &amp; personal attributes-Certificate of apprenticeship or other relevant experience in mechanical industry or other relevant industry- Committed to HSE - Good communication skills - Structured - Drive and enthusiasm - Dedication, and willingness to drive change- Team player with high sense of cooperation - English languageIn some departments shift work will be needed.We offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.		0	1	0	Full-time		Certification	Oil & Energy	Engineering	1
108	11740	UST Testing Technician	US, CA, Bakersfield, CA	Oil & Energy	70000-80000	Jaco Oil and Refined Resources have partnered up in an effort to streamline the hiring process and provide a more efficient and effective recruitng model.  Our focus is to help develop and achieve your career goals while makeing a solid geographical, cultural and professional fiit when leveraging your career into your new and exciting professional venture!Please direct all communications to the HR Department within Refined Resources (#URL_80d75e0d07ca8b108539318a0443bfe5d1ff472afa0c4540b77079c5d5f31eee#) #EMAIL_0b13a2cfd4718ce252c09b2353d692a73bd32552e922c5db6cad5fb7e9a2c6c3#Darren Lawson | VP of Recruiting | #EMAIL_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c# | #PHONE_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1#	  Qualified candidates are encouraged to apply directly to this job posting.  Direct email and phone calls are not being considered. Thank you for your cooperation.  Please no recruiters.  UST Testing Technician | Bakersfield, CALocal Petroleum Company is seeking an experienced Technician to perform general maintenance in confined spaces at our gas stations.  About the Position:Seeking a dynamic individual for our fast paced environment. Ideal candidates will have general maintenance experience at gas station working on the pumps and underground storage tanks.Primary Responsibilities:Working at gas stationsWilling to travelBe able to work in confined spacesGeneral maintenance experienceMust possess valid drivers license and clean DMVBe able to assist other 989/UST Testing Technicians with unexpected situations	Qualifications:Availability to work overtime, and out of town at times.Geographical knowledge of Bakersfield and surrounding areas.Two years of prior industry-experience Relevant manufactures certifications if required which may include but are not limited to: Gilbarco, Ruby, Sapphire, and Veeder	Competitive compensation package including base + full benefits package + expense account + per diem and increase in base + many perks.Clean, safe and professional working environment / culture.  The management team has a great reputation for taking good care of employees.  Steady, consistent employment opportunity- company has a history and reputation for the tenure of employees for the long-term. No layoffs or terminations. When work is slow the team always has work to keep current employees on a full-time status so you can feel confident your employment will be steady and something you can count on. If you like to travel and enjoy your independence, this position is for you. You will be traveling to multiple sites on overnight visits throughout the week and be working mostly independently. The position is available right away as we are prepared to move forward fairly quickly upon identifying the right candidate.  Qualified candidates are encouraged to apply directly to this job posting.  Direct email and phone calls are not being considered. Thank you for your cooperation.  Please no recruiters.    	0	1	1	Full-time	Mid-Senior level	Certification	Oil & Energy	Other	1
116	1288	Clinical Education Manager - Surgical Services 	US, CA, 				Apply using below link #URL_569f6d743085a3f7cde7f8ab04acce1279729bd4865e8947ff18818e0bbfc397#Desert Regional Medical Center has provided a full range of quality medical care to one of the world's most famous resort area since 1951. Our 367 bed acute tertiary care facility is fully accredited by the Joint Commission on the Accreditation of Healthcare Organizations (JCAHO), the nation's oldest and largest hospital accreditation agency.We are located in Palm Springs, California, historically renowned as a legendary celebrity getaway and resort community. The dramatic desert environment offers spectacular views of the beautifully landscaped gardens, royal palms, majestic mountains and clear blue skies. Palm Springs and the fast-growing surrounding areas offer a variety of well-known restaurants, shops, cultural activities such as theater, museums and film festivals, and outdoor recreation including championship golf, tennis, hiking and horseback riding.We are seeking a Clinical Education Manager - Surgical Services.The Surgical Services Education Manager is an experienced professional nurse who through education, clinical direction, staff development, consultation, nursing research and management guidance works towards achieving the goals of surgical services and the organization.The Education Manager is responsible for the following:Planning and coordination of orientation for all new personnel, nursing students, surgical tech students, and vendors to surgical services.Evaluate staff's progress during the first 6 months of employment and provides input thereafter.Design, review, and revise competency validation tools and puts those tools to use in assessing and validating staff competency.Serve as a consultant for patient care issues and is jointly responsible with the Director and Clinical Manager for assuring that policies and procedures required by regulatory bodies and accrediting agencies are current and complete.Through research and quality assurance activities, identify, create and test solutions and evaluate the effectiveness of clinical practices and programs.			0	0	0	Full-time			Hospital & Health Care		1
148	5512	Payroll Data Coordinator Positions - Earn $100-$200 Daily 	US, MD, Abell 				We are a full-service marketing and staffing firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates.Are you looking for a Work from Home Opportunity where you can earn up to $2500 and more per week? Our Online Service Representative position would be perfect for you!- Set your own hours - Make money every time you decide to work - Work remotely from home - Get paid weekly - If you have a computer with internet, this is for you	RequirementsAll you need is access to the Internet and you can participate. Computer with Internet access, valid email address, good typing skills   	This is an entry level position and we offer full online training. You do NOT need any special skills to get started.Earn as much as you can doing data entry.  Complete Training provided before you start working and it’s easy to start!  ________________________________________Don’t let this opportunity pass you by.POSITIONS ARE STILL AVAILABLE - GET STARTED RIGHT NOWIf you fit the above description and meet the requirements, please apply stating your locationApply at: #EMAIL_c9b5d8a60f3d80be13dd02ffe5d212c047b92ba679c296dfae7c102952fbb534#	0	0	0						1
158	9091	Executive Sous Chef	MY, , Kuala lumpur		55000-70000	Le Meridien is situated in the heart of kuala lumpur's tourist centre. We provide and exciting and entertaining experience for people who are looking for a fresh and exotic challenge. Our restaurants offer one of the best cuisine made by wonderful and passion filled individuals. Come and experience true luxury with us and be changed forever.	Responsible for assisting in the direction and administration of the planning, preparation, production and control of all culinary operations in the hotels continuing effort to deliver outstanding guest service and financial profitability.As Executive Sous Chef, you would be responsible for assisting in the direction and administration of the planning, preparation, production and control of all culinary operations in the hotel's continuing effort to deliver outstanding guest service and financial profitability. Specifically, you would be responsible for performing the following tasks to the highest standards:Assist the Executive Chef in the direction and oversight of all culinary operations, to include, but not limited to, preparation and production of all hotel meals, food quality and presentation, compliance with all safety and sanitation standards and regulation, team member productivity and performance, implementation of policies and procedures, cost controls and overall profitabilityAssist the Executive Chef by interacting with guests and clients to monitor and assess satisfaction trends, evaluate and address issues and make improvements accordinglyAssist the Executive Chef in creating and implementing menu selections for special banquet themes and events based on current food trends and regional tastes in partnership with the Executive Chef and Director of Food and Beverage, as neededEnsure compliance with federal, state, local and company health, safety, sanitation and alcohol awareness standardsMonitor and develop team member performance to include, but not limited to, providing supervision, conducting counseling and assisting with evaluations, training, scheduling and assigning work and delivering recognition and reward	Skills and Specifications:    * Must have a passion and love for food    * Excellent communication skills both written and oral    * Public relations skills    * Excellent management and organizational skills    * Works well under pressure    * Good attention to detailExperience:Previous experience with control food and labor cost, demonstration cooking, menu development, and pricing and development of culinary team preferred. Premise and liability accountability and contract-managed service experience is desirable.Education:The ideal candidates will possess a bachelor's degree or related culinary degree with four or more years of industry and culinary management experience.		0	1	0	Full-time	Executive		Hospitality	Consulting	1
